,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19,bin_20,bin_21,bin_22,bin_23,bin_24,bin_25,bin_26,bin_27,bin_28,bin_29,bin_30,bin_31,Sample_id,Class_Label,Type
0,0,0,0,0,2,8,7,8,6,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8567,1.0,prototype
1,0,0,0,5,7,7,3,2,4,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13220,1.0,prototype
2,0,0,6,13,10,4,1,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17916,1.0,prototype
3,0,0,0,11,16,6,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18691,1.0,prototype
4,0,0,0,2,10,9,6,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20724,1.0,prototype
5,0,0,0,0,3,7,6,3,6,4,3,3,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24241,1.0,prototype
6,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35320,1.0,prototype
7,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35920,1.0,prototype
8,0,0,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42348,1.0,prototype
9,0,0,0,6,5,8,5,6,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46960,1.0,prototype
10,0,0,0,0,1,3,11,9,7,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8563,1.0,criticism
11,0,0,0,6,6,6,3,2,7,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13215,1.0,criticism
12,0,0,4,12,11,7,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17918,1.0,criticism
13,0,0,1,14,13,4,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18694,1.0,criticism
14,0,0,0,3,4,8,8,5,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20723,1.0,criticism
15,0,0,0,0,3,6,4,2,7,5,6,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24238,1.0,criticism
16,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35321,1.0,criticism
17,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35919,1.0,criticism
18,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42349,1.0,criticism
19,0,0,0,5,8,5,8,4,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46961,1.0,criticism
